zone_type,historical_disruptions,avg_duration,month,risk_multiplier
0,4,1.130001577897777,3,0.8513000157789778
2,12,8.035134425428836,8,1.5
1,10,3.6758670105985685,7,1.2867586701059857
1,8,2.332984441765432,3,1.1033298444176545
0,6,2.60615128467549,6,1.036061512846755
0,1,2.5716169684887,4,0.835716169684887
0,3,2.881931575685588,11,0.858819315756856
2,17,6.012029430089262,5,1.5
1,2,3.727355632668235,11,1.0572735563266824
1,13,3.6634673429635125,5,1.316634673429635
0,5,2.936145005819357,7,1.0293614500581936
2,19,8.387326659239477,11,1.4738732665923946
2,17,6.807156775804959,5,1.5
0,4,2.6600653672561494,11,0.8666006536725616
0,2,2.66827732104717,3,0.8466827732104718
0,1,2.096801873483823,10,0.8309680187348383
0,7,2.6667552488633275,5,1.0466675524886333
1,6,4.676458750609883,7,1.2567645875060989
1,9,3.58342209067649,5,1.2758342209067648
0,5,1.72354001154596,5,1.0172354001154595
1,7,3.878522221381684,9,1.1087852222138168
0,3,2.527220959228317,3,0.8552722095922832
0,3,2.5797292420710773,6,1.0057972924207108
0,2,1.3126628767856772,1,0.8331266287678568
1,5,4.067732059886069,10,1.0906773205988607
1,6,4.230632808911883,5,1.252306328089119
0,4,1.7762661620044986,8,1.007762661620045
1,8,2.680511306976485,5,1.2568051130697648
1,8,3.2703164146993773,9,1.1127031641469938
0,1,1.6479585494201991,11,0.8264795854942021
1,14,3.9887187570336975,6,1.329887187570337
0,5,1.5158790135738012,8,1.015158790135738
0,3,2.4061878075188656,10,0.8540618780751887
2,21,7.570278069542567,8,1.5
2,18,7.636090014876659,3,1.4563609001487665
2,14,9.817341251339112,7,1.5
0,8,1.3512002794170348,7,1.0435120027941704
0,2,2.155322873439327,10,0.8415532287343933
1,9,3.349738343256516,12,1.1234973834325652
1,11,4.421632989276253,6,1.3042163298927625
0,4,1.6340019394686078,12,0.8563400193946862
1,11,3.7499987299655526,7,1.2974999872996555
0,4,1.4185755230602397,2,0.8541857552306025
2,11,6.543583210177998,9,1.37543583210178
0,1,2.0194463432071306,10,0.8301944634320714
1,7,3.569877388666985,10,1.10569877388667
0,3,2.961296439128099,1,0.8596129643912811
1,8,4.3172329988818525,1,1.1231723299888186
1,4,2.400546654058459,3,1.0640054665405847
0,3,2.775448795786642,3,0.8577544879578665
2,12,7.424099050431872,1,1.3942409905043185
1,9,4.237676795196447,12,1.1323767679519645
2,14,6.839035909785739,7,1.5
2,14,4.069156084317911,4,1.380691560843179
1,4,4.3499506706580835,10,1.083499506706581
2,12,4.7012725635456345,2,1.3670127256354563
0,4,1.0031588421558237,10,0.8500315884215583
0,3,1.060759159908925,5,0.9906075915990893
0,4,1.0925163785225678,6,1.000925163785226
0,3,1.4934948413347617,9,0.8449349484133477
0,2,1.6676298234184748,4,0.8366762982341848
0,2,2.3385141851592968,2,0.8433851418515931
2,21,5.620350796609334,5,1.5
0,4,2.3080461553175207,3,0.8630804615531753
0,0,1.5201254960843813,2,0.8152012549608438
1,5,4.067327244460472,12,1.0906732724446047
0,0,2.571333203888912,1,0.8257133320388892
2,11,9.378837143555772,10,1.4037883714355577
0,0,2.3896414597434417,2,0.8238964145974345
2,16,9.508063060566101,6,1.5
1,12,4.216837539736183,8,1.3121683753973619
0,2,2.6867466413500107,3,0.8468674664135002
0,4,2.9243718189836003,11,0.869243718189836
2,19,8.553333100842679,9,1.4755333310084267
1,7,4.410625330479283,12,1.114106253304793
1,4,4.859960241302765,9,1.0885996024130278
1,6,3.310331507969959,2,1.0931033150796996
0,6,2.2227140261967646,8,1.0322271402619676
0,0,1.0450984430601729,10,0.8104509844306018
0,3,1.1048113729223976,11,0.8410481137292241
